year,expenditure_type,school,funding_category,amount
2006,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,5243163
2009,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,219
2013,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,5682374
2014,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,6055851
2015,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,5975121
2016,Non-Instructional,Benton_Community_School_Corpnbsp_395,Overhead and Operational,6569484
2006,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,6368598
2009,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,266
2013,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,3878117
2014,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,3860580
2015,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,3171018
2016,Non-Instructional,Benton_Community_School_Corpnbsp_395,Non Operational,3284143
2006,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,0
2009,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,00
2013,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,0
2014,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,0
2015,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,0
2016,Non-Instructional,Benton_Community_School_Corpnbsp_395,Not Categorized,0
2006,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,12019222
2009,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,10704862
2013,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,8129502
2014,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,7801458
2015,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,8024978
2016,Instructional,Blackford_County_Schoolsnbsp_515,Student Academic Achievement,7788700
2006,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,1892386
2009,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,1938884
2013,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,2021402
2014,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,2003068
2015,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,2044307
2016,Instructional,Blackford_County_Schoolsnbsp_515,Student Instructional Support,1893249
2006,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,4470904
2009,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,202
2013,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,5155083
2014,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,5522256
2015,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,5289478
2016,Non-Instructional,Blackford_County_Schoolsnbsp_515,Overhead and Operational,5126592
2006,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,3739520
2009,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,169
2013,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,3284591
2014,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,3417015
2015,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,3389985
2016,Non-Instructional,Blackford_County_Schoolsnbsp_515,Non Operational,2899315
2006,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,0
2009,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,00
2013,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,0
2014,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,0
2015,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,0
2016,Non-Instructional,Blackford_County_Schoolsnbsp_515,Not Categorized,0
2006,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,4954362
2009,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,5193083
2013,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,4711898
2014,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,4379891
2015,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,4361528
2016,Instructional,Bloomfield_School_Districtnbsp_2920,Student Academic Achievement,4247495
2006,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,757072
2009,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,778032
2013,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,727402
2014,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,715559
2015,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,718649
2016,Instructional,Bloomfield_School_Districtnbsp_2920,Student Instructional Support,719614
2006,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,2006814
2009,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,205
2013,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,2421857
2014,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,2280976
2015,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,2308048
2016,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Overhead and Operational,2229500
2006,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,2061511
2009,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,211
2013,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,1691989
2014,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,1251235
2015,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,1318371
2016,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Non Operational,1488296
2006,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,0
2009,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,00
2013,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,0
2014,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,0
2015,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,0
2016,Non-Instructional,Bloomfield_School_Districtnbsp_2920,Not Categorized,0
2006,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,0
2009,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,5580
2013,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,1173282
2014,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,1167350
2015,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,1295780
2016,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Academic Achievement,1172383
2006,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,0
2009,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,117953
2013,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,356884
2014,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,254864
2015,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,251339
2016,Instructional,Bloomington_Project_Schoolnbsp_9835,Student Instructional Support,233436
2006,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,0
2009,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,8678
2013,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,357685
2014,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,553654
2015,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,460529
2016,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Overhead and Operational,402754
2006,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,0
2009,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,92919
2013,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,393282
2014,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,197993
2015,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,250821
2016,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Non Operational,311961
2006,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2009,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2013,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2014,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2015,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2016,Non-Instructional,Bloomington_Project_Schoolnbsp_9835,Not Categorized,0
2006,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3527271
2009,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3823851
2013,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3393999
2014,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3586586
2015,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3169320
2016,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Academic Achievement,3285229
2006,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,547534
2009,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,670751
2013,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,636639
2014,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,619973
2015,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,664131
2016,Instructional,Blue_River_Valley_Schoolsnbsp_3405,Student Instructional Support,657493
2006,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,1559302
2009,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,245
2013,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,1726946
2014,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,1644227
2015,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,1733568
2016,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Overhead and Operational,1925185
2006,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,738226
2009,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,116
2013,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,1107852
2014,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,1124721
2015,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,1147842
2016,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Non Operational,1151027
2006,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,0
2009,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,00
2013,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,0
2014,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,0
2015,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,0
2016,Non-Instructional,Blue_River_Valley_Schoolsnbsp_3405,Not Categorized,0
2006,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,6108999
2009,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,6796386
2013,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,6680237
2014,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,6859496
2015,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,6766145
2016,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Academic Achievement,7129305
2006,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1284638
2009,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1404347
2013,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1432514
2014,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1458632
2015,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1519009
2016,Instructional,Bremen_Public_Schoolsnbsp_5480,Student Instructional Support,1590257
2006,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,2399017
2009,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,194
2013,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,2794869
2014,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,3127500
2015,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,3189326
2016,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Overhead and Operational,3228498
2006,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,2586015
2009,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,209
2013,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,2510275
2014,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,2442261
2015,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,2250087
2016,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Non Operational,2323655
2006,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,0
2009,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,00
2013,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,0
2014,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,0
2015,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,0
2016,Non-Instructional,Bremen_Public_Schoolsnbsp_5480,Not Categorized,0
2006,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,11494831
2009,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,11926183
2013,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,11958604
2014,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,12078433
2015,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,11803111
2016,Instructional,Brown_County_School_Corporationnbsp_670,Student Academic Achievement,12273481
2006,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,2483236
2009,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,2262466
2013,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,2302612
2014,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,2366250
2015,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,2444556
2016,Instructional,Brown_County_School_Corporationnbsp_670,Student Instructional Support,4383690
2006,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,5575020
2009,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,237
2013,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,7283621
2014,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,7253385
2015,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,7711708
2016,Non-Instructional,Brown_County_School_Corporationnbsp_670,Overhead and Operational,7672945
2006,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,4015586
2009,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,170
2013,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,4416939
2014,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,3676158
2015,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,4686284
2016,Non-Instructional,Brown_County_School_Corporationnbsp_670,Non Operational,3368696
2006,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,0
2009,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,00
2013,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,0
2014,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,0
2015,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,0
2016,Non-Instructional,Brown_County_School_Corporationnbsp_670,Not Categorized,0
2006,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,31208519
2009,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,39104166
2013,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,36677478
2014,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,38516433
2015,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,41537570
2016,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Academic Achievement,43103032
2006,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,4219717
2009,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,5763394
2013,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,5819800
2014,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,5685971
2015,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,6114826
2016,Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Student Instructional Support,6217536
2006,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,13839633
2009,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,191
2013,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,13971198
2014,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,15118071
2015,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,16507996
2016,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Overhead and Operational,17297177
2006,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,23161037
2009,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,320
2013,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,27005702
2014,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,23484861
2015,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,23602171
2016,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Non Operational,25698901
2006,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,0
2009,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,00
2013,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,0
2014,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,0
2015,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,0
2016,Non-Instructional,Brownsburg_Community_Sch_Corpnbsp_3305,Not Categorized,0
2006,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,8433893
2009,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,8092431
2013,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,8557167
2014,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,8324889
2015,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,8023803
2016,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Academic Achievement,7943699
2006,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1030188
2009,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1054468
2013,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1240424
2014,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1184249
2015,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1162590
2016,Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Student Instructional Support,1129070
2006,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,3662175
2009,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,244
2013,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,3986237
2014,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,4047030
2015,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,3909508
2016,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Overhead and Operational,3969860
2006,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,1890490
2009,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,126
2013,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,2538734
2014,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,2885973
2015,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,5736497
2016,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Non Operational,2726344
2006,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,0
2009,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,00
2013,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,0
2014,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,0
2015,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,0
2016,Non-Instructional,Brownstown_Cnt_Com_Sch_Corpnbsp_3695,Not Categorized,0
2006,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,0
2009,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,0
2013,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,4798684
2014,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,3596054
2015,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,2813148
2016,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Academic Achievement,2803821
2006,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,0
2009,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,0
2013,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,0
2014,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,581774
2015,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,1479331
2016,Instructional,Burris_Laboratory_Schoolnbsp_9620,Student Instructional Support,1278676
2006,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,0
2009,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,0
2013,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,0
2014,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,691580
2015,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,1216930
2016,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Overhead and Operational,1635782
2006,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,0
2009,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,0
2013,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,0
2014,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,106422
2015,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,236911
2016,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Non Operational,384257
2006,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2009,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2013,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2014,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2015,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2016,Non-Instructional,Burris_Laboratory_Schoolnbsp_9620,Not Categorized,0
2006,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,6775676
2009,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,6869884
2013,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,6873493
2014,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,5702378
2015,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,5454354
2016,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Academic Achievement,5261937
2006,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,978565
2009,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,1041008
2013,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,1244723
2014,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,1039577
2015,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,995911
2016,Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Student Instructional Support,1006965
2006,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,3224397
2009,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,240
2013,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,3664119
2014,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,3231289
2015,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,3257579
2016,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Overhead and Operational,3602675
2006,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,2457606
2009,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,183
2013,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,2526461
2014,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,2404189
2015,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,2581083
2016,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Non Operational,2536930
2006,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,0
2009,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,00
2013,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,0
2014,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,0
2015,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,0
2016,Non-Instructional,C_A_Beard_Memorial_School_Corpnbsp_3455,Not Categorized,0
2006,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,0
2009,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,0
2013,Instructional,Canaan_Community_Academynbsp_9725,Student Academic Achievement,401259
