school_name,url
Eastern Pulaski Com Sch Corp&nbsp; (6620), "https://www.in.gov/omb/files/6620fy16.pdf"
Edinburgh Community Sch Corp&nbsp; (4215), "https://www.in.gov/omb/files/4215fy16.pdf"
Edison Learning Roosevelt&nbsp; (8820), "https://www.in.gov/omb/files/8820fy16.pdf"
Elkhart Community Schools&nbsp; (2305), "https://www.in.gov/omb/files/2305fy16.pdf"
Elwood Community School Corp&nbsp; (5280), "https://www.in.gov/omb/files/5280fy16.pdf"
Eminence Community School Corp&nbsp; (5910), "https://www.in.gov/omb/files/5910fy16.pdf"
Enlace Academy&nbsp; (9365), "https://www.in.gov/omb/files/9365fy16.pdf"
Evansville Vanderburgh Sch Corp&nbsp; (7995), "https://www.in.gov/omb/files/7995fy16.pdf"
Excel Center - Kokomo&nbsp; (9355), "https://www.in.gov/omb/files/9355fy16.pdf"
Excel Center - Lafayette Sq&nbsp; (9335), "https://www.in.gov/omb/files/9335fy16.pdf"
Excel Center - Richmond&nbsp; (9305), "https://www.in.gov/omb/files/9305fy16.pdf"
Excel Center - Shelbville (9995), "https://www.in.gov/omb/files/9995fy16.pdf"
Excel Center - South Bend (9900), "https://www.in.gov/omb/files/9900fy16.pdf"
Excel Center - University Heights (9840), "https://www.in.gov/omb/files/9840fy16.pdf"
Excel Center for Adult Learners&nbsp; (9910), "https://www.in.gov/omb/files/9910fy16.pdf"
Fairfield Community Schools&nbsp; (2155), "https://www.in.gov/omb/files/2155fy16.pdf"
Fayette County School Corp&nbsp; (2395), "https://www.in.gov/omb/files/Fayette%20County%20School%20Corp%c2%a0%20(2395).pdf"
Flat Rock-Hawcreek School Corp&nbsp; (370), "https://www.in.gov/omb/files/flat-rock-hawcreeek-(370).pdf"
Fort Wayne Community Schools&nbsp; (235), "https://www.in.gov/omb/files/fort-wayne-community-schools-(235).pdf"
Franklin Community School Corp&nbsp; (4225), "https://www.in.gov/omb/files/franklin-community-school-corp-(4225).pdf"
Franklin County Com Sch Corp&nbsp; (2475), "https://www.in.gov/omb/files/franklin-county-com-sch-corp-(2475).pdf"
Franklin Township Com Sch Corp&nbsp; (5310), "https://www.in.gov/omb/files/franklin-township-com-sch-corp-(5310).pdf"
Frankton-Lapel Community Schs&nbsp; (5245), "https://www.in.gov/omb/files/frankton-lapel-community-sch-(5245).pdf"
Fremont Community Schools&nbsp; (7605), "https://www.in.gov/omb/files/fremont-community-schools-(7605).pdf"
Frontier School Corporation&nbsp; (8525), "https://www.in.gov/omb/files/frontier-school-corporation-(8525).pdf"
Garrett-Keyser-Butler Com&nbsp; (1820), "https://www.in.gov/omb/files/garrett-keyser-butler-com-(1820).pdf"
Gary Community School Corp&nbsp; (4690), "https://www.in.gov/omb/files/Gary-Community-School-Corp-(4690).pdf"
Gary Lighthouse Charter School&nbsp; (9535), "https://www.in.gov/omb/files/gary-lighthouse-charter-school-(9535).pdf"
Gary Middle College&nbsp; (9885), "https://www.in.gov/omb/files/gary-middle-college-(9885).pdf"
Geist Montessori Academy&nbsp; (9665), "https://www.in.gov/omb/files/geist-montessori-academy-(9665).pdf"
Goshen Community Schools&nbsp; (2315), "https://www.in.gov/omb/files/goshen-community-schools-(2315).pdf"
Greater Clark County Schools&nbsp; (1010), "https://www.in.gov/omb/files/greater-clark-county-schools-(1010).pdf"
Greater Jasper Con Schs&nbsp; (2120), "https://www.in.gov/omb/files/greater-jasper-con-schs-(2120).pdf"
Greencastle Community Sch Corp&nbsp; (6755), "https://www.in.gov/omb/files/greencastle-community-sch-corp-(6755).pdf"
Greenfield-Central Com Schools&nbsp; (3125), "https://www.in.gov/omb/files/greenfield-central-com-schools-(3125).pdf"
Greensburg Community Schools&nbsp; (1730), "https://www.in.gov/omb/files/greensburg-community-schools-(1730).pdf"
Greenwood Community Sch Corp&nbsp; (4245), "https://www.in.gov/omb/files/greenwood-community-sch-corp-(4245).pdf"
Griffith Public Schools&nbsp; (4700), "https://www.in.gov/omb/files/griffith-pupblic-schools-(4700).pdf"
Hamilton Community Schools&nbsp; (7610), "https://www.in.gov/omb/files/hamilton-community-schools-(7610).pdf"
Hamilton Heights School Corp&nbsp; (3025), "https://www.in.gov/omb/files/hamilton-heights-school-corp-(3025).pdf"
Hamilton Southeastern Schools&nbsp; (3005), "https://www.in.gov/omb/files/hamilton-southeastern-schools-(3005).pdf"
Hammond Academy of Science &amp; Tech&nbsp; (9705), "https://www.in.gov/omb/files/hammond-academy-of-science-and-tech-(9705).pdf"
Hanover Community School Corp&nbsp; (4580), "https://www.in.gov/omb/files/hanover-community-school-corp-(4580).pdf"
Herron Charter&nbsp; (9650), "https://www.in.gov/omb/files/herron-charter-(9650).pdf"
Hoosier Acad Virtual Charter&nbsp; (9865), "https://www.in.gov/omb/files/hossier-acad-virtual-charter-(9865).pdf"
Hoosier Academy - Indianapolis&nbsp; (9805), "https://www.in.gov/omb/files/hoosier-academy-indianapolis-(9805).pdf"
Hope Academy&nbsp; (9655), "https://www.in.gov/omb/files/hope-academy-9655.pdf"
Huntington Co Com Sch Corp&nbsp; (3625), "https://www.in.gov/omb/files/huntington-co-com-sch-corp-3625.pdf"
Imagine Life Sciences Acad - West&nbsp; (9850), "https://www.in.gov/omb/files/imagine-life-sciences-acad-west-9850.pdf"
IN Acad for Sci Math Humanities&nbsp; (9625), "https://www.in.gov/omb/files/in-acad-for-sci-math-humanities-9625.pdf"
Indiana College Preparatory School (9490)&nbsp;, "https://www.in.gov/omb/files/indiana-college-preparatory-school-9490.pdf"
Indiana Connections Academy&nbsp; (9905), "https://www.in.gov/omb/files/indiana-connections-academy-9905.pdf"
Indiana Math and Science Acad South&nbsp; (9375), "https://www.in.gov/omb/files/indiana-math-and-science-acad-south-9375.pdf"
Indiana Math and Science Academy&nbsp; (9785), "https://www.in.gov/omb/files/indiana-math-and-science%20academy-9785.pdf"
Indiana Math Science Academy North&nbsp; (9895), "https://www.in.gov/omb/files/indiana-math-science-academy-north-9895.pdf"
Indiana Virtual School&nbsp; (9890), "https://www.in.gov/omb/files/indiana-virtual-school-9890.pdf"
Indianapolis Acad of Excel - Chlng Fnd Aca (9780), "https://www.in.gov/omb/files/indianapolis-acad-of-excel-chlng-fnd-aca-9780.pdf"
Indianapolis Lighthouse East (9770), "https://www.in.gov/omb/files/indianapolis-lighthouse-east-9770.pdf"
Indianapolis Metropolitan High School&nbsp; (9670), "https://www.in.gov/omb/files/indianapolis-metropolitan-high-school-9670.pdf"
Indianapolis Public Schools&nbsp; (5385), "https://www.in.gov/omb/files/indianapolis-public-schools-5385.pdf"
Indpls Lighthouse Charter School&nbsp; (9575), "https://www.in.gov/omb/files/indpls-lighthouse-charter-school-9575.pdf"
Inspire Academy&nbsp; (9735), "https://www.in.gov/omb/files/inspire-academy-9735.pdf"
Irvington Community School&nbsp; (9330), "https://www.in.gov/omb/files/irvington-community-school-9330.pdf"
Jac-Cen-Del Community Sch Corp&nbsp; (6900), "https://www.in.gov/omb/files/jac-cen-del-community-sch-corp-6900.pdf"
Jay School Corp&nbsp; (3945), "https://www.in.gov/omb/files/jay-school-corp-3945.pdf"
Jennings County Schools&nbsp; (4015), "https://www.in.gov/omb/files/jennings-county-schools-4015.pdf"
John Glenn School Corporation&nbsp; (7150), "https://www.in.gov/omb/files/john-glenn-school-corporation-7150.pdf"
Joshua Academy&nbsp; (9495), "https://www.in.gov/omb/files/joshua-academy-9495.pdf"
Kankakee Valley School Corp&nbsp; (3785), "https://www.in.gov/omb/files/kankakee-valley-school-corp-3785.pdf"
KIPP Indpls College Preparatory&nbsp; (9400), "https://www.in.gov/omb/files/kipp-indpls-college-preparatory-9400.pdf"
KIPP Indy Unite Elementary (9410), "https://www.in.gov/omb/files/kipp-indy-unite-elementary-9410.pdf"
Knox Community School Corp&nbsp; (7525), "https://www.in.gov/omb/files/knox-community-school-corp-7525.pdf"
Kokomo School Corporation&nbsp; (3500), "https://www.in.gov/omb/files/kokomo-school-corp-3500.pdf"
Lafayette Excel Center&nbsp; (9345), "https://www.in.gov/omb/files/lafayette-excel-center-9345.pdf"
Lafayette School Corporation&nbsp; (7855), "https://www.in.gov/omb/files/lafayette-school-corp-7855.pdf"
Lake Central School Corp&nbsp; (4615), "https://www.in.gov/omb/files/lake-central-school-corp-4615.pdf"
Lake Ridge Schools&nbsp; (4650), "https://www.in.gov/omb/files/Lake-Ridge-Schools-(4650).pdf"
Lake Station Community Schools&nbsp; (4680), "https://www.in.gov/omb/files/lake-station-community-schools-4680.pdf"
Lakeland School Corporation&nbsp; (4535), "https://www.in.gov/omb/files/lakeland-school-corporation-4535.pdf"
Lanesville Community School Corp&nbsp; (3160), "https://www.in.gov/omb/files/Lanesville-Community-School-Corp-(3160).pdf"
LaPorte Community School Corp&nbsp; (4945), "https://www.in.gov/omb/files/LaPorte-Community-School-Corp-(4945).pdf"
Lawrenceburg Com School Corp&nbsp; (1620), "https://www.in.gov/omb/files/Lawrenceburg-Com-School-Corp-(1620).pdf"
Lebanon Community School Corp&nbsp; (665), "https://www.in.gov/omb/files/Lebanon-Community-School-Corp-(665).pdf"
Liberty-Perry Com School Corp&nbsp; (1895), "https://www.in.gov/omb/files/Liberty-Perry-Com-School-Corp-(1895).pdf"
Linton-Stockton School Corp&nbsp; (2950), "https://www.in.gov/omb/files/Linton-Stockton-School-Corp-(2950).pdf"
Logansport Community Sch Corp&nbsp; (875), "https://www.in.gov/omb/files/Logansport-Community-Sch-Corp-(875).pdf"
Loogootee Community Sch Corp&nbsp; (5525), "https://www.in.gov/omb/files/Loogootee-Community-Sch-Corp-(5525).pdf"
M S D Bluffton-Harrison&nbsp; (8445), "https://www.in.gov/omb/files/MSD-Bluffton-Harrison-(8445).pdf"
M S D Boone Township&nbsp; (6460), "https://www.in.gov/omb/files/MSD-Boone-Township-(6460).pdf"
M S D Decatur Township&nbsp; (5300), "https://www.in.gov/omb/files/MSD-Decatur-Township-(5300).pdf"
M S D Lawrence Township&nbsp; (5330), "https://www.in.gov/omb/files/MSD-Lawrence-Township-(5330).pdf"
M S D Martinsville Schools&nbsp; (5925), "https://www.in.gov/omb/files/msd-martinsville-schools-5925.pdf"
M S D Mount Vernon&nbsp; (6590), "https://www.in.gov/omb/files/msd-mount-vernon-6590.pdf"
M S D North Posey Co Schools&nbsp; (6600), "https://www.in.gov/omb/files/msd-north-posey-co-schools-6600.pdf"
M S D of New Durham Township&nbsp; (4860), "https://www.in.gov/omb/files/msd-of-new-durham-township-4860.pdf"
M S D Perry Township&nbsp; (5340), "https://www.in.gov/omb/files/msd-perry-township-5340.pdf"
M S D Pike Township&nbsp; (5350), "https://www.in.gov/omb/files/msd-pike-township-5350.pdf"
M S D Shakamak Schools&nbsp; (2960), "https://www.in.gov/omb/files/msd-shakamak-schools-2960.pdf"
M S D Southwest Allen County Schools&nbsp; (125), "https://www.in.gov/omb/files/msd-southwest-allen-county-schools-125.pdf"
M S D Steuben County&nbsp; (7615), "https://www.in.gov/omb/files/msd-steuben-county-7615.pdf"
M S D Wabash County Schools&nbsp; (8050), "https://www.in.gov/omb/files/msd-wabash-county-schools-8050.pdf"
M S D Warren Township&nbsp; (5360), "https://www.in.gov/omb/files/msd-warren-township-5360.pdf"
M S D Washington Township&nbsp; (5370), "https://www.in.gov/omb/files/msd-washington-township-5370.pdf"
M S D Wayne Township&nbsp; (5375), "https://www.in.gov/omb/files/msd-wayne-township-5375.pdf"
Maconaquah School Corp&nbsp; (5615), "https://www.in.gov/omb/files/maconaquah-school-corp-5615.pdf"
Madison Consolidated Schools&nbsp; (3995), "https://www.in.gov/omb/files/masidosn-consolidated-schools-3995.pdf"
Madison-Grant United Sch Corp&nbsp; (2825), "https://www.in.gov/omb/files/madison-grant-united-2825.pdf"
Manchester Community Schools&nbsp; (8045), "https://www.in.gov/omb/files/manchester-community-schools-8045.pdf"
Marion Academy (9915), "https://www.in.gov/omb/files/marion-academy-9915.pdf"
Marion Community Schools&nbsp; (2865), "https://www.in.gov/omb/files/marion-community-schools-2865.pdf"
Mays Community Academy (9955), "https://www.in.gov/omb/files/mays-community-academy-9955.pdf"
Medora Community School Corp&nbsp; (3640), "https://www.in.gov/omb/files/medora-community-school-corp-3640.pdf"
Merrillville Community School&nbsp; (4600), "https://www.in.gov/omb/files/merrillville-community-school-4600.pdf"
Michigan City Area Schools&nbsp; (4925), "https://www.in.gov/omb/files/michigan-city-area-schools-4925.pdf"
Middlebury Community Schools&nbsp; (2275), "https://www.in.gov/omb/files/middlebury-community-schools-2275.pdf"
Milan Community Schools&nbsp; (6910), "https://www.in.gov/omb/files/milan-community-schools-6910.pdf"
Mill Creek Community Sch Corp&nbsp; (3335), "https://www.in.gov/omb/files/mill-creek-community-sch-corp-3335.pdf"
Mississinewa Community School Corp&nbsp; (2855), "https://www.in.gov/omb/files/mississinewa-community-school-corp-2855.pdf"
Mitchell Community Schools&nbsp; (5085), "https://www.in.gov/omb/files/mitchell-community-schools-5085.pdf"
Monroe Central School Corp&nbsp; (6820), "https://www.in.gov/omb/files/monroe-cen-sch-corp-6820.pdf"
Monroe County Com Sch Corp&nbsp; (5740), "https://www.in.gov/omb/files/monrow-county-5740.pdf"
"/omb/files/monrow-gregg-5900" target="_blank">Monroe-Gregg School District&nbsp; (5900)
Mooresville Con School Corp&nbsp; (5930), "https://www.in.gov/omb/files/mooresville-5930.pdf"
Mt Vernon Community Sch Corp&nbsp; (3135), "https://www.in.gov/omb/files/Mt-Vernon-Community-Sch-Corp-(3135).pdf"
Muncie Community Schools&nbsp; (1970), "https://www.in.gov/omb/files/muncie-1970.pdf"
Neighbors New Vista High School&nbsp; (9730), "https://www.in.gov/omb/files/neighbors-new-vista-9730.pdf"
Nettle Creek School Corp&nbsp; (8305), "https://www.in.gov/omb/files/nettle-creek-8305.pdf"
New Albany-Floyd Co Con Sch&nbsp; (2400), "https://www.in.gov/omb/files/new-albany-floyd-2400.pdf"
New Castle Community Sch Corp&nbsp; (3445), "https://www.in.gov/omb/files/new-castle-3445.pdf"
New Community School&nbsp; (9340), "https://www.in.gov/omb/files/new-community-9340.pdf"
New Prairie United School Corp&nbsp; (4805), "https://www.in.gov/omb/files/new-parairie-4805.pdf"
Nexus Academy of Indianapolis&nbsp; (9930), "https://www.in.gov/omb/files/nexus-academy-9930%20.pdf"
Nineveh-Hensley-Jackson United&nbsp; (4255), "https://www.in.gov/omb/files/nineveh-hensley-jackson-4255.pdf"
Noblesville Schools&nbsp; (3070), "https://www.in.gov/omb/files/noblesville-3070.pdf"
North Adams Community Schools&nbsp; (25), "https://www.in.gov/omb/files/north-adams-25.pdf"
North Central Parke Con Sch Corp&nbsp; (6375), "https://www.in.gov/omb/files/north-central-parke-6375.pdf"
North Daviess Com Schools&nbsp; (1375), "https://www.in.gov/omb/files/north-daviess-1375.pdf"
North Gibson School Corp&nbsp; (2735), "https://www.in.gov/omb/files/north-gibson-2735.pdf"
North Harrison Com School Corp&nbsp; (3180), "https://www.in.gov/omb/files/north-harrison-3180.pdf"
North Judson-San Pierre Sch Corp&nbsp; (7515), "https://www.in.gov/omb/files/north-judson-san-pierre-7515.pdf"
North Knox School Corp&nbsp; (4315), "https://www.in.gov/omb/files/north-knox-4315.pdf"
North Lawrence Com Schools&nbsp; (5075), "https://www.in.gov/omb/files/north-lawrence-5075.pdf"
North Miami Community Schools&nbsp; (5620), "https://www.in.gov/omb/files/north-miami-5620.pdf"
North Montgomery Com Sch Corp&nbsp; (5835), "https://www.in.gov/omb/files/north-montgomery-5835.pdf"
North Newton School Corp&nbsp; (5945), "https://www.in.gov/omb/files/north-newton-5945.pdf"
North Putnam Community Schools&nbsp; (6715), "https://www.in.gov/omb/files/north-putnam-6715.pdf"
North Spencer County Sch Corp&nbsp; (7385), "https://www.in.gov/omb/files/north-sspencer-7385.pdf"
North Vermillion Com Sch Corp&nbsp; (8010), "https://www.in.gov/omb/files/north-vermillion-8010.pdf"
North West Hendricks Schools&nbsp; (3295), "https://www.in.gov/omb/files/north-west-hendricks-3295.pdf"
North White School Corp&nbsp; (8515), "https://www.in.gov/omb/files/north-white-8515.pdf"
Northeast Dubois Co Sch Corp&nbsp; (2040), "https://www.in.gov/omb/files/northeast-dubois-2040.pdf"
Northeast School Corp&nbsp; (7645), "https://www.in.gov/omb/files/northeast-7645.pdf"
Northeastern Wayne Schools&nbsp; (8375), "https://www.in.gov/omb/files/northeastern-wayne-8375.pdf"
Northern Wells Com Schools&nbsp; (8435), "https://www.in.gov/omb/files/northern-wells-8435.pdf"
Northwest Allen County Schools&nbsp; (225), "https://www.in.gov/omb/files/northwest-allen-225.pdf"
Northwestern Con School Corp&nbsp; (7350), "https://www.in.gov/omb/files/northwestern-7350.pdf"
Northwestern School Corp&nbsp; (3470), "https://www.in.gov/omb/files/northwestern-3470.pdf"
Oak Hill United School Corp&nbsp; (5625), "https://www.in.gov/omb/files/oak-hill-united-5625.pdf"
Options Charter Sch - Noblesville&nbsp; (9640), "https://www.in.gov/omb/files/options-charter-noblesville-9640.pdf"
Options Charter School - Carmel&nbsp; (9325), "https://www.in.gov/omb/files/options-charter-carmel-9325.pdf"
Oregon-Davis School Corp&nbsp; (7495), "https://www.in.gov/omb/files/oregon-davis-7495.pdf"
Orleans Community Schools&nbsp; (6145), "https://www.in.gov/omb/files/orleans-6145.pdf"
Paoli Community School Corp&nbsp; (6155), "https://www.in.gov/omb/files/paoli-6155.pdf"
Paramount School of Excellence Inc&nbsp; (9680), "https://www.in.gov/omb/files/paramount-9680.pdf"
Penn-Harris-Madison Sch Corp&nbsp; (7175), "https://www.in.gov/omb/files/penn-harris-madison-7175.pdf"
Perry Central Com Schools Corp&nbsp; (6325), "https://www.in.gov/omb/files/perry-central-6325.pdf"
Peru Community Schools&nbsp; (5635), "https://www.in.gov/omb/files/peru-5635.pdf"
Phalen Ldrshp Acad - IN Inc&nbsp; (9925), "https://www.in.gov/omb/files/phalen-ldrshp-9925.pdf"
Pike County School Corp&nbsp; (6445), "https://www.in.gov/omb/files/pike-6445.pdf"
Pioneer Regional School Corp&nbsp; (775), "https://www.in.gov/omb/files/pioneer-regional-775.pdf"
Plainfield Community Sch Corp&nbsp; (3330), "https://www.in.gov/omb/files/plainfield-3330.pdf"
Plymouth Community School Corp&nbsp; (5485), "https://www.in.gov/omb/files/plymouth-5485.pdf"
